BHK,Rent,Size,Area Type,Area Locality,City,Furnishing Status,Bathroom,Point of Contact
2,47000,785,Carpet Area,JB Nagar,Mumbai,Furnished,2,Contact Agent
3,75000,1250,Carpet Area,"Laksharia Tower, Andheri West",Mumbai,Semi-Furnished,3,Contact Agent
4,45000,1016,Carpet Area,"Oasis, Lokhandwala Twp",Mumbai,Unfurnished,3,Contact Agent
1,36000,380,Carpet Area,Mazgaon,Mumbai,Unfurnished,2,Contact Agent
1,40000,475,Carpet Area,"Sanghvi Evana, Worli",Mumbai,Unfurnished,1,Contact Agent
1,40000,444,Carpet Area,Sakinaka Junction,Mumbai,Unfurnished,2,Contact Agent
2,32000,640,Carpet Area,"GSA Grandeur, Gokuldham",Mumbai,Unfurnished,2,Contact Agent
1,17000,320,Carpet Area,"Midas PMGP Mhada Colony, PMGP Colony",Mumbai,Unfurnished,1,Contact Owner
3,77000,1100,Carpet Area,"Auris Serenity, Adarsh Nagar",Mumbai,Unfurnished,4,Contact Agent
4,290000,1500,Carpet Area,"Benchmark Solus, Waterfield Road",Mumbai,Furnished,3,Contact Agent
2,35000,650,Carpet Area,"Evershine Millenium Paradise, Thakur Village, Kandivali East",Mumbai,Semi-Furnished,2,Contact Agent
1,40000,508,Carpet Area,"Kanakia Sevens, Marol Maroshi Road",Mumbai,Semi-Furnished,2,Contact Agent
4,250000,2500,Carpet Area,JVPD Scheme,Mumbai,Furnished,4,Contact Agent
2,47000,720,Carpet Area,Chembur,Mumbai,Unfurnished,2,Contact Agent
2,50000,750,Super Area,D.N. Nagar,Mumbai,Unfurnished,2,Contact Owner
1,32000,430,Carpet Area,"Sion East, Sion Koliwada",Mumbai,Unfurnished,1,Contact Agent
2,8000,623,Carpet Area,"Shreenath nagar, Morya Nagar",Mumbai,Unfurnished,2,Contact Agent
3,240000,1358,Carpet Area,"Lodha Kiara, Worli Hill",Mumbai,Semi-Furnished,4,Contact Agent
3,85000,1000,Carpet Area,"Lodha Eternis, Chakala MIDC",Mumbai,Semi-Furnished,3,Contact Agent
3,65000,1100,Carpet Area,"Sejal Tower, Goregaon West",Mumbai,Unfurnished,3,Contact Agent
3,75000,1255,Carpet Area,Bhakti Park,Mumbai,Furnished,3,Contact Owner
1,26500,450,Carpet Area,"Vasant Sagar, Thakur Village, Kandivali East",Mumbai,Furnished,2,Contact Agent
2,45000,650,Carpet Area,"Akruti Aneri, Marol",Mumbai,Furnished,2,Contact Agent
2,95000,955,Carpet Area,"Lodha New Cuffe Parade, Bhakti Park",Mumbai,Semi-Furnished,2,Contact Agent
2,38000,700,Carpet Area,"Altavista, Chembur",Mumbai,Unfurnished,2,Contact Agent
3,260000,1915,Super Area,"Ashford Casa Grande, Lower Parel",Mumbai,Semi-Furnished,4,Contact Agent
4,300000,2308,Carpet Area,"Windsor Grande Residences, Andheri West",Mumbai,Semi-Furnished,6,Contact Agent
3,180000,1250,Carpet Area,"Ekta Trinity, Santacruz West",Mumbai,Semi-Furnished,3,Contact Agent
2,40000,625,Carpet Area,"Kailash Tower, Powai",Mumbai,Semi-Furnished,2,Contact Agent
4,300000,2200,Carpet Area,JVPD Scheme,Mumbai,Furnished,4,Contact Agent
2,85000,870,Carpet Area,"Royal Residency, Lal Baug",Mumbai,Furnished,2,Contact Agent
3,110000,1300,Carpet Area,Kalina,Mumbai,Semi-Furnished,3,Contact Agent
2,40000,750,Carpet Area,"Techno Park I, Kandivali East",Mumbai,Unfurnished,2,Contact Agent
2,45000,750,Super Area,Andheri East,Mumbai,Furnished,2,Contact Owner
2,52000,550,Carpet Area,Kalina,Mumbai,Furnished,2,Contact Agent
4,90000,1250,Carpet Area,Andheri West,Mumbai,Furnished,4,Contact Agent
3,140000,1400,Carpet Area,"Insignia, Bandra Kurla Complex",Mumbai,Semi-Furnished,3,Contact Agent
3,150000,1330,Carpet Area,"Oberoi Esquire, Goregaon East",Mumbai,Semi-Furnished,4,Contact Agent
3,65000,1000,Carpet Area,Chembur,Mumbai,Semi-Furnished,3,Contact Agent
2,50000,770,Carpet Area,"Sufalam CHS, Chembur East",Mumbai,Unfurnished,2,Contact Agent
2,54000,800,Carpet Area,"Shimpla Vighnaharta CHS, Seven Bungalows",Mumbai,Unfurnished,2,Contact Agent
4,180000,1691,Carpet Area,"Oberoi Prisma, Agarkar Chowk",Mumbai,Semi-Furnished,6,Contact Agent
1,60000,550,Carpet Area,"Neumec Elegance, Lower Parel",Mumbai,Furnished,2,Contact Agent
2,65000,800,Carpet Area,Andheri West,Mumbai,Unfurnished,2,Contact Agent
2,35000,615,Carpet Area,"Aspire, Thakur Village, Kandivali East",Mumbai,Unfurnished,2,Contact Agent
2,43000,663,Carpet Area,"Wadhwa Atmosphere, Mulund West",Mumbai,Unfurnished,2,Contact Agent
1,20000,400,Carpet Area,Bhandup,Mumbai,Semi-Furnished,1,Contact Owner
2,57000,625,Carpet Area,"Panch Complex, Powai",Mumbai,Furnished,2,Contact Agent
4,130000,1432,Carpet Area,"Sabari Ashville, Chembur East",Mumbai,Unfurnished,3,Contact Agent
1,25000,425,Carpet Area,Mulund West,Mumbai,Unfurnished,1,Contact Agent
2,56000,649,Carpet Area,"Promenade At The Address, Ghatkopar West",Mumbai,Semi-Furnished,2,Contact Agent
2,55000,905,Carpet Area,"Sunteck City Avenue 1, Goregaon West",Mumbai,Unfurnished,2,Contact Agent
2,18000,882,Super Area,"DB Ozone, Mira Road",Mumbai,Unfurnished,2,Contact Owner
3,100000,1200,Carpet Area,"Salvation CHS, Dadar West",Mumbai,Furnished,3,Contact Agent
2,76000,736,Carpet Area,"Rustomjee Elanza, Mindspace",Mumbai,Unfurnished,2,Contact Agent
3,270000,1710,Carpet Area,"Lodha Bellissimo, Mahalakshmi",Mumbai,Furnished,3,Contact Agent
1,45000,225,Carpet Area,"simla house at nepeasea road, Napean Sea Road",Mumbai,Unfurnished,1,Contact Owner
2,39000,720,Carpet Area,"Altavista, Chembur",Mumbai,Unfurnished,2,Contact Agent
1,12500,555,Super Area,"Hubtown Gardenia, Mira Road",Mumbai,Unfurnished,1,Contact Owner
1,35000,415,Super Area,Andheri East,Mumbai,Unfurnished,1,Contact Owner
2,55000,649,Carpet Area,"Promenade At The Address, Ghatkopar West",Mumbai,Semi-Furnished,2,Contact Agent
3,90000,1000,Carpet Area,Vile Parle West,Mumbai,Furnished,2,Contact Agent
2,250000,1300,Carpet Area,Khar West,Mumbai,Furnished,2,Contact Agent
2,25000,1065,Super Area,"Gaurav Excellency, Mira Road",Mumbai,Furnished,2,Contact Owner
2,90000,854,Carpet Area,"Kanakia Paris, Bandra Kurla Complex",Mumbai,Semi-Furnished,2,Contact Agent
3,120000,1200,Carpet Area,"Salvation CHS, Dadar West",Mumbai,Furnished,3,Contact Agent
1,55000,500,Carpet Area,Hiranandani Gardens,Mumbai,Unfurnished,1,Contact Agent
3,70000,906,Carpet Area,"Sanjona Gulmarg Towers, Chembur East",Mumbai,Semi-Furnished,3,Contact Agent
3,300000,1800,Carpet Area,Bandra West,Mumbai,Furnished,4,Contact Agent
2,25000,500,Carpet Area,New Devchhaya Building,Mumbai,Furnished,1,Contact Owner
1,35000,450,Super Area,Goregaon West,Mumbai,Unfurnished,1,Contact Owner
3,120000,1130,Carpet Area,Bandra West,Mumbai,Semi-Furnished,3,Contact Agent
1,27000,495,Super Area,Andheri East,Mumbai,Furnished,2,Contact Owner
1,25000,407,Super Area,Devi Pada,Mumbai,Unfurnished,2,Contact Owner
3,150000,1092,Carpet Area,"Lodha The Park, Worli",Mumbai,Semi-Furnished,3,Contact Agent
2,32000,610,Carpet Area,"The Windsor, Kandivali East",Mumbai,Unfurnished,2,Contact Agent
1,40000,500,Super Area,"Manavsthal, Andheri East",Mumbai,Furnished,2,Contact Owner
2,52000,750,Carpet Area,"vanamali chs ghatla, Ghatla",Mumbai,Unfurnished,2,Contact Agent
2,80000,750,Carpet Area,"lokhandwala residency, Worli",Mumbai,Furnished,2,Contact Agent
2,55000,850,Carpet Area,"Adityavardhan Apartment, Raheja Vihar",Mumbai,Furnished,2,Contact Agent
1,30000,350,Carpet Area,Prabhadevi,Mumbai,Unfurnished,1,Contact Agent
1,20000,300,Carpet Area,"Sundar Nagar, Kalina",Mumbai,Semi-Furnished,1,Contact Agent
1,85000,695,Carpet Area,Union Park,Mumbai,Furnished,2,Contact Agent
1,40000,415,Carpet Area,"Kanakia Rainforest, Andheri East",Mumbai,Semi-Furnished,2,Contact Agent
1,21000,450,Carpet Area,Bhandup Village,Mumbai,Unfurnished,2,Contact Agent
3,43000,850,Carpet Area,"Aspire, Kandivali East",Mumbai,Unfurnished,3,Contact Agent
2,58000,805,Carpet Area,"Auris Serenity, Link Road",Mumbai,Semi-Furnished,3,Contact Agent
2,130000,700,Carpet Area,Bandra West,Mumbai,Furnished,2,Contact Agent
3,260000,1800,Carpet Area,JVPD Scheme,Mumbai,Furnished,4,Contact Agent
2,46000,669,Carpet Area,"Tulip at Runwal Forests, Kanjurmarg West",Mumbai,Unfurnished,2,Contact Agent
1,6500,325,Carpet Area,"Unicorn Global Arena, Naigaon East",Mumbai,Unfurnished,1,Contact Agent
1,21000,600,Super Area,Sher E Punjab Society,Mumbai,Furnished,1,Contact Owner
2,46000,725,Carpet Area,Chembur,Mumbai,Unfurnished,2,Contact Agent
2,60000,750,Carpet Area,"Green Woods Chkala, Andheri East",Mumbai,Semi-Furnished,2,Contact Agent
3,65000,1050,Carpet Area,"Hillcrest, Andheri East",Mumbai,Semi-Furnished,3,Contact Agent
2,15000,600,Carpet Area,Shilphata,Mumbai,Unfurnished,2,Contact Owner
2,130000,1000,Carpet Area,Bandra West,Mumbai,Semi-Furnished,2,Contact Agent
3,90000,1110,Carpet Area,"Omkar Alta Monte, Kurar Village",Mumbai,Furnished,3,Contact Agent
2,62000,650,Carpet Area,Jacob Circle,Mumbai,Unfurnished,2,Contact Agent
3,160000,1100,Carpet Area,Santacruz West,Mumbai,Semi-Furnished,3,Contact Agent
3,80000,1100,Carpet Area,"Godrej Central, Chembur",Mumbai,Unfurnished,3,Contact Agent
3,80000,1110,Carpet Area,"Omkar Alta Monte, Kurar Village",Mumbai,Semi-Furnished,3,Contact Agent
3,55000,999,Carpet Area,"Orchid Residency, Link Road",Mumbai,Semi-Furnished,2,Contact Agent
3,100000,1000,Carpet Area,Santacruz West,Mumbai,Furnished,3,Contact Agent
4,200000,2200,Carpet Area,Seven Bungalows,Mumbai,Semi-Furnished,5,Contact Agent
3,100000,1256,Carpet Area,"Satyam Springs, Deonar",Mumbai,Furnished,3,Contact Agent
2,79500,750,Carpet Area,"Hiranandani Castle Rock, Hiranandani Gardens",Mumbai,Semi-Furnished,2,Contact Agent
3,84500,889,Carpet Area,"Oberoi Splendor, JVLR-Jogeshwari Vikhroli Link Road",Mumbai,Semi-Furnished,2,Contact Agent
2,100000,750,Carpet Area,"Hiranandani Atlantis, Hiranandani Gardens",Mumbai,Semi-Furnished,2,Contact Agent
1,13000,385,Carpet Area,"Aims Sea View, Indralok",Mumbai,Unfurnished,1,Contact Agent
4,100000,1454,Carpet Area,"diamond garden, Chembur East",Mumbai,Unfurnished,4,Contact Agent
1,35000,480,Carpet Area,Seven Bungalows,Mumbai,Semi-Furnished,2,Contact Agent
2,72000,660,Carpet Area,"Hiranandani Castle Rock, Hiranandani Gardens",Mumbai,Semi-Furnished,2,Contact Agent
3,180000,1600,Carpet Area,Bandra West,Mumbai,Furnished,3,Contact Agent
1,26000,434,Carpet Area,"Samarth Srishti, Bhandup West",Mumbai,Semi-Furnished,2,Contact Agent
3,72000,1121,Carpet Area,"Hari Kunj II, Sindhi Society Chembur",Mumbai,Unfurnished,3,Contact Agent
1,8000,620,Super Area,Virar,Mumbai,Semi-Furnished,2,Contact Owner
3,130000,937,Carpet Area,"Runwal Elegante, Andheri West",Mumbai,Furnished,2,Contact Agent
1,52000,470,Carpet Area,"Godrej The Trees, Vikhroli East",Mumbai,Semi-Furnished,2,Contact Agent
1,13000,410,Carpet Area,Mira Road East,Mumbai,Unfurnished,1,Contact Agent
3,45000,850,Carpet Area,Mulund West,Mumbai,Unfurnished,3,Contact Agent
3,180000,1500,Carpet Area,"Purushottam Towers, Dadar West",Mumbai,Furnished,4,Contact Agent
2,63000,888,Carpet Area,"Shapoorji Pallonji Vicinia, Chandivali",Mumbai,Furnished,2,Contact Agent
1,7500,380,Carpet Area,sunanda circal,Mumbai,Unfurnished,2,Contact Owner
1,30000,360,Carpet Area,"Antop Hill, Wadala",Mumbai,Unfurnished,1,Contact Agent
1,28500,565,Super Area,Kandivali East,Mumbai,Furnished,2,Contact Owner
3,100000,2000,Super Area,"Auris Serenity, Malad West",Mumbai,Semi-Furnished,4,Contact Agent
4,270000,1358,Carpet Area,"Lodha Kiara, Worli Hill",Mumbai,Semi-Furnished,4,Contact Agent
2,38000,661,Carpet Area,"Runwal Forests, Kanjurmarg West",Mumbai,Semi-Furnished,2,Contact Agent
1,26000,450,Carpet Area,"Ratan Silicon Park, Jankalyan Nagar",Mumbai,Unfurnished,2,Contact Agent
3,70000,1300,Carpet Area,Goregaon West,Mumbai,Unfurnished,3,Contact Agent
2,41000,600,Carpet Area,"Vasant Oscar, Mulund West",Mumbai,Furnished,2,Contact Agent
2,27000,900,Super Area,Mahatama Gandhi Road,Mumbai,Semi-Furnished,3,Contact Owner
1,53000,379,Carpet Area,"Hiranandani Regent Hill, Powai",Mumbai,Semi-Furnished,1,Contact Agent
2,65000,805,Carpet Area,"Auris Serenity, Kanch Pada",Mumbai,Semi-Furnished,3,Contact Agent
1,85000,650,Super Area,Malabar Hill,Mumbai,Furnished,2,Contact Owner
1,6000,500,Super Area,Naigaon East,Mumbai,Semi-Furnished,2,Contact Owner
1,43000,480,Carpet Area,Seven Bungalows,Mumbai,Furnished,2,Contact Agent
2,65000,550,Super Area,"Dr Babasaheb Ambedkar Road, Mumbai",Mumbai,Semi-Furnished,2,Contact Owner
3,280000,1600,Carpet Area,Bandra West,Mumbai,Furnished,3,Contact Agent
3,98000,1400,Carpet Area,"Hubtown Sunmist, Chakala",Mumbai,Semi-Furnished,2,Contact Agent
3,330000,1500,Carpet Area,"Indiabulls Blu, Worli",Mumbai,Semi-Furnished,2,Contact Agent
3,65000,1050,Carpet Area,"Alpine, Kandivali East",Mumbai,Unfurnished,3,Contact Agent
3,85000,920,Carpet Area,Ghatkopar East,Mumbai,Unfurnished,3,Contact Agent
1,40000,450,Carpet Area,"Ajmera Bhakti Park, Bhakti Park",Mumbai,Semi-Furnished,1,Contact Agent
1,23000,440,Carpet Area,in Kandivali West,Mumbai,Semi-Furnished,1,Contact Agent
3,55000,932,Super Area,Ghatkopar West,Mumbai,Unfurnished,3,Contact Owner
1,15000,270,Carpet Area,chakala andheri east,Mumbai,Unfurnished,2,Contact Owner
1,52000,379,Carpet Area,"Hiranandani Regent Hill, Powai",Mumbai,Semi-Furnished,2,Contact Agent
2,13000,582,Carpet Area,Lodha casa rio,Mumbai,Furnished,2,Contact Owner
2,95000,800,Carpet Area,"Pali Hill Apartment, Pali Hill",Mumbai,Semi-Furnished,2,Contact Agent
1,25000,444,Carpet Area,"Srishti Solitaire, Bhandup Industrial Estate",Mumbai,Unfurnished,2,Contact Agent
1,21000,428,Carpet Area,"Godrej Tranquil, Lokhandwala Twp",Mumbai,Unfurnished,1,Contact Agent
5,360000,1880,Carpet Area,"Runwal Elegante, Andheri West",Mumbai,Furnished,4,Contact Agent
2,60000,888,Carpet Area,"Shapoorji Pallonji Vicinia, Chandivali",Mumbai,Semi-Furnished,2,Contact Agent
1,19000,490,Super Area,Bhandup East,Mumbai,Unfurnished,1,Contact Owner
3,140000,937,Carpet Area,"Sheth Beaumonte, Sion Koliwada",Mumbai,Unfurnished,4,Contact Agent
2,30000,710,Carpet Area,"Gokul Gagan, Thakur Village, Kandivali East",Mumbai,Unfurnished,2,Contact Agent
4,130000,1617,Carpet Area,"Auris Serenity, Kanch Pada",Mumbai,Semi-Furnished,5,Contact Agent
2,80000,836,Carpet Area,"TATA Falcon Crest, Parel",Mumbai,Unfurnished,2,Contact Agent
2,85000,1200,Carpet Area,"Crescent Bay T3, Bhoiwada",Mumbai,Semi-Furnished,3,Contact Agent
2,65000,950,Carpet Area,"Vishnu Shivam Tower, Thakur Village, Kandivali East",Mumbai,Furnished,2,Contact Agent
1,33000,460,Carpet Area,"Conwood Astoria, Goregaon East",Mumbai,Semi-Furnished,2,Contact Agent
1,36000,585,Super Area,"Odyssey Bhakti Park, Bhakti Park",Mumbai,Semi-Furnished,2,Contact Agent
2,22000,550,Carpet Area,"Salasar Garden, Beverly Park",Mumbai,Furnished,2,Contact Agent
1,17000,375,Carpet Area,"Royal Palms Diamond Isle Phase II, Aarey Milk Colony",Mumbai,Unfurnished,1,Contact Agent
2,55000,700,Carpet Area,"Raj Legacy, Vikhroli West",Mumbai,Furnished,2,Contact Agent
2,66000,750,Carpet Area,"Sundar Nagar, Kalina",Mumbai,Unfurnished,2,Contact Agent
4,140000,2000,Carpet Area,"DB Woods, Gokuldham",Mumbai,Furnished,4,Contact Agent
4,260000,2046,Carpet Area,"Oberoi Esquire, Goregaon East",Mumbai,Semi-Furnished,5,Contact Agent
2,32000,750,Super Area,"Shree Sai Usha Complex, Bhandup West",Mumbai,Semi-Furnished,2,Contact Owner
2,45000,730,Carpet Area,"Raheja Heights, Malad East",Mumbai,Unfurnished,2,Contact Agent
2,50000,750,Carpet Area,"Hillcrest, Andheri East",Mumbai,Semi-Furnished,2,Contact Agent
1,18500,229,Super Area,Vile Parle,Mumbai,Semi-Furnished,1,Contact Owner
2,51000,910,Carpet Area,"Rivali Park, Borivali East",Mumbai,Unfurnished,2,Contact Agent
4,140000,1648,Carpet Area,"Sheth Auris Serinity, Malad West",Mumbai,Semi-Furnished,5,Contact Agent
3,80000,1100,Carpet Area,"Alpine Shapoorji Pallonji, Thakur Village, Kandivali East",Mumbai,Unfurnished,3,Contact Agent
1,30000,560,Carpet Area,Ghatkopar East,Mumbai,Unfurnished,2,Contact Agent
2,85000,850,Carpet Area,Andheri West,Mumbai,Unfurnished,2,Contact Agent
1,15000,450,Super Area,Dahisar East,Mumbai,Unfurnished,1,Contact Owner
2,50000,820,Carpet Area,"Raheja Heights, BMC Colony Malad East",Mumbai,Semi-Furnished,2,Contact Agent
2,60000,750,Carpet Area,"Tridhaatu Bhaveshwar Vilas, Central Avenue Road",Mumbai,Unfurnished,2,Contact Agent
1,23000,410,Carpet Area,"Midas Enclave CHS , Nandiadwala Colony",Mumbai,Unfurnished,1,Contact Agent
1,14500,490,Carpet Area,Ketki Pada,Mumbai,Unfurnished,2,Contact Owner
2,40000,700,Carpet Area,Collector Colony,Mumbai,Unfurnished,2,Contact Agent
5,650000,3000,Carpet Area,Khar West,Mumbai,Semi-Furnished,5,Contact Agent
1,80000,560,Carpet Area,Waterfield Road,Mumbai,Furnished,1,Contact Agent
2,55000,650,Carpet Area,"White Lily Apartment, Bhandup East",Mumbai,Unfurnished,2,Contact Agent
1,12000,520,Super Area,in Mira Road,Mumbai,Semi-Furnished,1,Contact Owner
2,45000,850,Carpet Area,"Eco Residency, Andheri East",Mumbai,Unfurnished,2,Contact Agent
2,90000,777,Carpet Area,"Hiranandani Castle Rock, Hiranandani Gardens",Mumbai,Furnished,2,Contact Agent
2,43000,771,Carpet Area,"Kalpataru Crest, Bhandup West",Mumbai,Unfurnished,2,Contact Agent
1,22000,400,Carpet Area,"Midas Enclave CHS , Nandiadwala Colony",Mumbai,Unfurnished,1,Contact Agent
2,20000,600,Carpet Area,"Marigold-5, Beverly Park",Mumbai,Furnished,2,Contact Agent
1,26000,390,Carpet Area,"Greenfields CHS, Andheri East",Mumbai,Semi-Furnished,2,Contact Agent
4,850000,3200,Carpet Area,Breach Candy,Mumbai,Furnished,4,Contact Agent
1,34999,450,Carpet Area,"HDIL Premier Residences, Kurla West",Mumbai,Furnished,2,Contact Agent
1,35000,500,Super Area,Powai,Mumbai,Semi-Furnished,2,Contact Owner
1,50000,410,Carpet Area,Dadar East,Mumbai,Semi-Furnished,1,Contact Agent
1,16000,160,Carpet Area,Lal Baug,Mumbai,Unfurnished,1,Contact Owner
2,55000,750,Carpet Area,Chandivali,Mumbai,Unfurnished,2,Contact Agent
1,39000,585,Super Area,"Chanchal Kalyan Complex, Yari Road",Mumbai,Unfurnished,2,Contact Agent
3,100000,1300,Carpet Area,"L&T Emerald Isle, Powai",Mumbai,Semi-Furnished,3,Contact Agent
1,25000,350,Carpet Area,Ghatla,Mumbai,Furnished,1,Contact Owner
1,25000,490,Super Area,Kandivali East,Mumbai,Semi-Furnished,2,Contact Owner
2,49500,650,Carpet Area,Juhu Versova Link Road,Mumbai,Unfurnished,2,Contact Agent
1,21000,225,Carpet Area,Lower Parel,Mumbai,Unfurnished,1,Contact Owner
2,110000,850,Carpet Area,Pali Hill,Mumbai,Semi-Furnished,2,Contact Agent
1,21000,385,Super Area,in Santacruz East,Mumbai,Unfurnished,1,Contact Owner
2,46700,800,Carpet Area,"Milap CHS, Seven Bungalows",Mumbai,Unfurnished,2,Contact Agent
4,400000,2500,Carpet Area,Bandra West,Mumbai,Furnished,4,Contact Agent
4,280000,1526,Carpet Area,"Lodha Marquise, Worli",Mumbai,Semi-Furnished,5,Contact Agent
1,18000,300,Super Area,Kurla West,Mumbai,Unfurnished,1,Contact Owner
3,80000,1800,Super Area,"Sabari Palm View, Chembur",Mumbai,Semi-Furnished,3,Contact Agent
2,88000,800,Carpet Area,"Kanakia Paris, Bandra Kurla Complex",Mumbai,Semi-Furnished,2,Contact Agent
3,90000,890,Carpet Area,"Oberoi Splendor, JVLR-Jogeshwari Vikhroli Link Road",Mumbai,Furnished,2,Contact Agent
2,38000,700,Carpet Area,"Sky Villa, Gokuldham",Mumbai,Unfurnished,2,Contact Agent
1,20000,465,Super Area,in Borivali East,Mumbai,Semi-Furnished,1,Contact Owner
2,140000,900,Carpet Area,"Marathon Next Gen Era, Lower Parel",Mumbai,Furnished,2,Contact Agent
3,78000,1073,Carpet Area,"Raheja Ridgewood, Goregaon East",Mumbai,Semi-Furnished,3,Contact Agent
1,21000,450,Super Area,Chembur,Mumbai,Unfurnished,1,Contact Owner
3,95000,1350,Carpet Area,"Rajesh Raj Classic, Yari Road",Mumbai,Furnished,3,Contact Agent
2,90000,800,Carpet Area,"Band Stand, Bandra Band Stand",Mumbai,Furnished,2,Contact Agent
2,34000,600,Carpet Area,"Shiv Dham Apartment, Goregaon East",Mumbai,Unfurnished,2,Contact Agent
2,55000,650,Carpet Area,Sion Trombay Road,Mumbai,Unfurnished,2,Contact Agent
2,52000,550,Carpet Area,Dadar East,Mumbai,Furnished,2,Contact Agent
1,74999,840,Carpet Area,"Celestia Spaces, Balkrishna Dadu Karade Chowk",Mumbai,Unfurnished,2,Contact Agent
3,75000,1121,Carpet Area,"DB Woods, Gokuldham",Mumbai,Furnished,2,Contact Agent
2,45000,650,Carpet Area,"Swastik Pride, Chembur East",Mumbai,Unfurnished,2,Contact Agent
1,22000,575,Super Area,Kanjurmarg East,Mumbai,Unfurnished,1,Contact Owner
1,32000,475,Super Area,Andheri East,Mumbai,Furnished,1,Contact Owner
2,34000,830,Carpet Area,"Indraprastha CHS, Bhayandar East",Mumbai,Semi-Furnished,2,Contact Agent
3,170000,1337,Carpet Area,"Oberoi Splendor Grande, Agarkar Chowk",Mumbai,Semi-Furnished,3,Contact Agent
1,23000,420,Carpet Area,"Spring Leaf, Lokhandwala Twp",Mumbai,Semi-Furnished,2,Contact Agent
1,20000,310,Carpet Area,Malad West,Mumbai,Unfurnished,1,Contact Agent
3,350000,1800,Carpet Area,Khar West,Mumbai,Furnished,4,Contact Agent
3,90000,967,Carpet Area,"Romell Aether, Goregaon East",Mumbai,Furnished,3,Contact Agent
1,55000,505,Carpet Area,"Godrej The Trees, Vikhroli East",Mumbai,Semi-Furnished,1,Contact Agent
1,15000,275,Super Area,Borivali East,Mumbai,Unfurnished,1,Contact Owner
2,22000,640,Carpet Area,Mahajan Wadi,Mumbai,Semi-Furnished,2,Contact Agent
3,60000,1500,Carpet Area,Film City,Mumbai,Semi-Furnished,3,Contact Agent
2,49000,850,Carpet Area,"Lakshchandi Height, Goregaon East",Mumbai,Semi-Furnished,2,Contact Agent
2,34000,900,Carpet Area,"Challenger Tower, Thakur Village, Kandivali East",Mumbai,Semi-Furnished,2,Contact Agent
1,24000,430,Carpet Area,"Bhoomi Elegant, Thakur Complex",Mumbai,Furnished,2,Contact Agent
4,270000,1649,Carpet Area,"Adani Western Heights, Andheri West",Mumbai,Semi-Furnished,3,Contact Agent
3,69000,1100,Carpet Area,Chandivali,Mumbai,Unfurnished,3,Contact Agent
3,120000,1200,Carpet Area,Worli,Mumbai,Semi-Furnished,3,Contact Agent
2,32000,680,Carpet Area,"Galassia, Kandarpada",Mumbai,Unfurnished,2,Contact Agent
2,24000,600,Carpet Area,Charkop,Mumbai,Semi-Furnished,2,Contact Owner
4,100000,1560,Carpet Area,"diamond garden, Chembur",Mumbai,Unfurnished,4,Contact Agent
5,600000,4500,Carpet Area,Bandra West,Mumbai,Furnished,5,Contact Agent
2,45000,771,Carpet Area,"Kalpataru Crest, Bhandup West",Mumbai,Unfurnished,2,Contact Agent
2,80000,800,Carpet Area,"Hiranandani Castle Rock, Powai",Mumbai,Semi-Furnished,2,Contact Agent
2,37000,800,Super Area,"Mayuresh Srishti, Bhandup West",Mumbai,Semi-Furnished,2,Contact Agent
3,210000,1425,Carpet Area,"The Primordial House, Kemps Corner",Mumbai,Furnished,4,Contact Agent
4,190000,1750,Carpet Area,"Godrej The Trees, Pirojshah Nagar",Mumbai,Semi-Furnished,4,Contact Agent
1,25000,475,Carpet Area,Ghatkopar East,Mumbai,Unfurnished,2,Contact Agent
4,210000,2000,Carpet Area,Vikhroli,Mumbai,Unfurnished,5,Contact Agent
3,200000,1375,Carpet Area,"Raheja Imperia, Worli",Mumbai,Semi-Furnished,3,Contact Agent
5,310000,2800,Carpet Area,"MidCity Shikhar, Andheri West",Mumbai,Semi-Furnished,5,Contact Agent
1,26000,650,Super Area,Srinagarchs chembur west near sankralyammandir,Mumbai,Semi-Furnished,1,Contact Owner
2,27000,600,Carpet Area,"Royal Palms, Goregaon East",Mumbai,Unfurnished,2,Contact Agent
1,26000,649,Super Area,"Uttam Society, Chembur",Mumbai,Unfurnished,1,Contact Owner
2,60000,950,Carpet Area,"Green Woods Chkala, Andheri East",Mumbai,Furnished,2,Contact Agent
1,12000,225,Carpet Area,Ashok Van,Mumbai,Unfurnished,1,Contact Owner
2,180000,1000,Carpet Area,Malabar Hill,Mumbai,Furnished,2,Contact Agent
1,30000,330,Carpet Area,Malad East,Mumbai,Furnished,1,Contact Agent
3,100000,1200,Carpet Area,Khar West,Mumbai,Furnished,3,Contact Agent
3,140000,1270,Carpet Area,"Lodha Azzuro , Parel",Mumbai,Semi-Furnished,3,Contact Agent
3,70000,920,Carpet Area,"Safal Twins, Chembur",Mumbai,Unfurnished,3,Contact Agent
2,20000,630,Carpet Area,"SK Imperial Heights, Mira Road East",Mumbai,Unfurnished,2,Contact Agent
2,22000,670,Carpet Area,"Prathamesh Heritage, Beverly Park",Mumbai,Furnished,2,Contact Agent
1,32000,450,Super Area,Andheri West,Mumbai,Furnished,1,Contact Owner
1,20000,265,Super Area,Mazgaon,Mumbai,Unfurnished,1,Contact Owner
2,50000,600,Carpet Area,"K Raheja Maple Leaf, Powai",Mumbai,Semi-Furnished,2,Contact Agent
2,29000,670,Carpet Area,Amar Nagar,Mumbai,Unfurnished,2,Contact Owner
2,45000,650,Carpet Area,Chandivali,Mumbai,Semi-Furnished,2,Contact Agent
